,Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
5401685,1461801552,23617Y4,ME,PAS,11/18/2019,66,TRAI,,S,16120,34820,8630,0,41.0,41,0,660639,BX02,0,0136A,,BX,O,940,BRYANT AVE,,0,408,D1,,BBBBBBB,ALL,ALL,GREEN,0.0,0,-,0,,,,,
9050465,8714330763,87597MJ,NY,COM,02/11/2020,74,DUMP,ISUZU,T,40320,13820,8320,20210228,49.0,49,49,370241,T201,L,0357P,,BX,O,2562,Holland Ave,,0,408,I4,,YYYYYYY,,,WH,,2010,,0,11,,,,
8181579,8786734386,JGZ8719,NY,PAS,01/24/2020,31,4DSD,FORD,T,18290,10210,10110,20210407,19.0,19,19,365850,T103,CC,0843A,,NY,O,220,E 65th St,,0,408,C,, YYYYYY,0800A,0700P,WH,,2012,,0,01,,,,
4774804,8766069221,ZFW0832,PA,PAS,10/23/2019,42,PICK,DODGE,T,17370,0,0,20170488,13.0,13,13,369633,T102,E,0140P,0910A,NY,I,N,E 19th St,75ft E/of Park Ave S,0,408,H1,, YYYYY,0800A,0600P,BLACK,,0,113-3009,0,05,,,,
9486952,8814013287,AJ54110,AZ,PAS,02/24/2020,38,DELV,GMC,T,11610,22890,21690,88880088,7.0,7,7,362193,T101,F,0316P,,NY,F,52,Allen St,,0,408,I3,, YYYYYY,0900A,0700P,WHITE,,0,,0,56,,,,
818967,8722730874,G53CNN,NJ,PAS,07/07/2019,74,4DSD,CADIL,T,42430,54060,31930,88880088,94.0,94,94,356501,T301,L,0725A,,K,O,290,Frost St,,0,408,J6,,YYYYYYY,,,BLACK,,0,,0,V,,,,
6404482,8741477170,JFS2904,NY,PAS,12/24/2019,21,4DSD,BMW,T,67530,14180,14230,20210307,70.0,70,70,362176,T302,Y,0858A,,K,F,1685,Ocean Ave,,0,408,D1,,  Y,0830A,1000A,WH,,2013,,0,CC1,,,,
4952060,8789258174,54868MC,NY,COM,10/24/2019,19,UTIL,ME/BE,T,18330,25390,27790,20210331,19.0,19,19,343920,T103,BB,0157P,,NY,F,27,E 67th St,,0,408,C,,YYYYYYY,,,WH,,2012,,0,B1,,,,
8018691,8752539301,HCY4459,NY,PAS,01/23/2020,38,SUBN,TOYOT,T,67120,76950,26820,20210302,43.0,43,43,357732,T201,A,0921A,,BX,O,1205,Stratford Ave,,0,408,D1,, YYYYYY,0900A,0700P,BK,,2003,,0,03,,,,
7797084,4677111182,HYB6925,NY,PAS,01/21/2020,36,4DSD,KIA,V,0,0,0,0,,0,0,0,,,0353P,,BK,,,WB ATLANTIC AVE @ SH,EPHERD AVE,0,1180,B,T,,,,WH,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
924104,8739374180,FTE1744,NY,PAS,07/08/2019,17,SUBN,NISSA,T,69320,26760,26790,20200214,44.0,44,44,369592,T201,F,1257P,,BX,O,1425,Townsend Ave,,0,408,C4,,SCHOOL,0700A,0400P,TN,,2003,,0,03,,,,
8489857,8500232110,GAC1569,NY,PAS,02/12/2020,16,4DSD,TOYOT,T,34370,10065,11110,20200625,10.0,10,10,330487,T501,B,0650P,,NY,O,553,W 30th St,,0,408,J3,, YYYYY,0800A,0700P,BK,,2014,,0,99,,,,
7101962,8790152062,8KVK779,CA,PAS,12/07/2019,38,4DSD,NISSA,T,51790,8590,8790,20191288,115.0,115,115,368865,T401,S,0839A,,Q,F,35-35,Junction Blvd,,0,408,I4,, YYYYYY,0830A,0700P,SILVE,,0,,0,18-A,,,,
3189048,8715365748,ELENA56,NY,SRF,09/19/2019,74,4DSD,INFIN,T,63730,11155,41330,20210307,84.0,84,84,331829,T301,F,0705A,,K,F,237,Nassau St,,0,408,O3,,YYYYYYY,,,BK,,2006,,0,02,,,,
2979797,4666599599,P669716,SC,PAS,09/17/2019,36,VN,CHEVR,V,0,0,0,0,,0,0,0,,,1107A,,QN,,,EB HILLSIDE AVE @ MA,NOR RD,0,1180,B,T,,,,,,2010,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
5732566,8727566687,2561446,IN,PAS,11/26/2019,84,TRAC,FRUEH,T,17930,24890,10210,88880088,18.0,18,18,368880,MTTF,C,0728A,,NY,F,129,E 47th St,,0,408,C,,YYYYYYY,,,WHITE,,0,,0,05,,,,
8706210,8808012116,JBR5654,NY,PAS,02/03/2020,38,SUBN,HONDA,T,0,40404,40404,20200622,108.0,108,108,365906,T401,V,0924P,,Q,I,,Sunnyside Lot,,0,408,I4,, YYYYYY,0700A,1000P,GY,,2019,,0,H-PM,,,,
8238059,8799210812,UWG2544,VA,PAS,01/10/2020,14,4DSD,BMW,T,58490,0,0,20200088,102.0,102,102,330743,T402,N,0832A,,Q,I,S,Park Ln South,20ft E/of 106th St,0,408,D,,YYYYYYY,,,GREY,,0,,0,T,,,,
6727858,4673801404,RQQ6166,GA,PAS,12/12/2019,36,MP,Nissa,V,0,0,0,0,,0,0,0,,,1050A,,BK,,,SB PENNSYLVANIA AVE,@ SCHROEDERS AVE,0,1180,B,T,,,,BLACK,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
7902952,8686290966,69696MG,NY,COM,01/13/2020,51,VAN,DODGE,T,77150,28800,28830,20210531,47.0,47,47,350410,T201,O,0750A,,BX,O,4545,White Plains Rd,,0,408,K2,,YYYYYYY,,,BK,,2017,,0,47,,,,
4385527,8646063112,T788230C,NY,OMT,10/24/2019,21,SUBN,TOYOT,T,27030,56820,73120,20200831,48.0,48,48,365897,T201,H,0937A,,BX,F,463,E 179th St,,0,408,J3,, Y  Y,0930A,1100A,BK,,2016,,0,57,,,,
9281421,8776819747,CMJ2354,AZ,PAS,02/05/2020,20,4DSD,CHEVR,T,29690,35870,35890,20200088,24.0,24,24,355052,T103,L,0916A,,NY,F,331,Riverside Dr,,0,408,E2,,YYYYYYY,,,GREY,,0,,0,L,,,,
10565836,8818205407,86396MC,NY,COM,03/13/2020,69,VAN,FORD,T,18090,10410,25390,20210430,18.0,18,18,354205,T106,E,1204P,1112A,NY,F,1,E 55th St,,20200313,408,H1,, YYYYY,0700A,0600P,WH,,2013,,0,99,,,,
10579002,8817515693,38047MJ,NY,COM,03/09/2020,38,VAN,DODGE,T,27590,16310,29890,20200831,7.0,7,7,366450,T101,A,0906A,,NY,F,129,Orchard St,,0,408,K7,, YYYYYY,0900A,1200A,RD,,2016,,0,12,,,,
8738875,8817600726,JLT1807,NY,PAS,01/29/2020,68,SUBN,SUBAR,T,59930,0,0,20211023,94.0,94,94,363499,T301,N,0958A,,K,I,S,Meeker Ave,30ft W/of Manhattan,0,408,D1,,YYYYYYY,,,WH,,2019,,0,15,,,,
1363961,8723736938,HSD8238,NY,PAS,08/06/2019,40,PICK,DODGE,T,35670,14510,15710,20210522,24.0,24,24,356262,T103,I,1004A,,NY,F,23,W 95th St,,0,408,J3,,YYYYYYY,,,WH,,2017,,2,24,,,,
4002277,8783006424,GEF6454,NY,PAS,10/08/2019,21,4DSD,VOLKS,T,35490,0,0,20210317,113.0,113,113,340127,T402,N,0937A,,Q,I,E,Bedell St,200ft N/of 134th Rd,0,408,J6,,  Y,0930A,1100A,BK,,2007,,0,Q,,,,
7014573,8774692197,JCL2322,NY,PAS,11/29/2019,21,4DSD,HONDA,T,17330,10430,10480,20200820,62.0,62,62,346022,T302,Y,0931A,,K,O,7712,Bay Pky,,0,408,D1,,     Y,0830A,1000A,BK,,2018,,0,W,,,,
4839381,8774799034,HLT3737,NY,PAS,09/27/2019,40,SUBN,HONDA,T,53530,44930,51530,20210126,90.0,90,90,346199,T301,L,1015A,,K,F,191,Johnson Ave,,0,408,F1,,YYYYYYY,,,GY,,2015,,1,A,,,,
7772849,4676999550,HXH1938,NY,PAS,01/24/2020,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,1137A,,BX,,,WB SEDGWICK AVE @ SA,XON AVE,0,1180,B,T,,,,BK,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
2205466,8756362481,D74FNM,NJ,PAS,08/02/2019,21,4DSD,NISSA,T,0,40404,40404,88880088,32.0,32,32,346357,T103,A,0817A,,NY,F,2388,Adam Clayton Powell,,0,408,D1,, YYYYYY,0800A,0900A,PURPL,,0,,0,Z,,,,
608974,5106856863,G30JLC,NJ,PAS,06/11/2019,7,WAGO,CADIL,V,0,0,0,0,,0,0,0,,,1029A,,BK,,,ATLANTIC AVE (W/B) @, PENNSYLVANIA AVE,0,1111,D,T,,,,RD,,2010,,0,,FAILURE TO STOP AT RED LIGHT,,,
261085,8727822709,GKV9085,NY,PAS,07/22/2019,70,SUBN,BMW,T,8980,0,0,20190719,66.0,66,66,363548,T302,O,0215P,,K,I,E,48th St,100ft S/of 8th Ave,0,408,I4,,YYYYYYY,,,GOLD,,2019,,0,43,,,,
596100,5107236868,ARB6018,NY,PAS,06/30/2019,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0950A,,BK,,,SB OCEAN PKWY @ 18TH, AVE,0,1111,D,T,,,,GR,,1999,,0,,FAILURE TO STOP AT RED LIGHT,,,
7535499,8797757378,HXV9611,NY,PAS,01/12/2020,14,SUBN,ROVER,T,34170,10410,10510,20200302,13.0,13,13,331217,T800,B2,0008A,,NY,O,37,W 20th St,,0,408,C,,YYYYYYY,1200A,0600A,BK,,2018,,0,B,,,,
1320239,8668044321,HHW7446,NY,PAS,08/02/2019,71,SUBN,CHEVR,T,26790,12810,14010,20201023,5.0,5,5,368536,T105,H,0348P,,NY,F,58,Mott St,,0,408,D,,YYYYYYY,,,BL,,2008,,0,042,,,,
8806780,1464999673,XP6877,NY,COM,01/22/2020,14,P-U,FORD,P,21230,16880,27100,20210331,1.0,1,0,358847,SICA,0.0,0926A,,NY,F,129,FULTON ST,,0,408,C,,BBBBBBB,ALL,ALL,BLACK,0.0,2016,-,0,,,,,
6118436,8790553470,VR7,NY,ORG,10/31/2019,40,SUBN,HONDA,T,19310,10210,10110,20210612,25.0,25,25,355134,T103,Y,0453P,,NY,O,220,E 118th St,,0,408,C3,,YYYYYYY,,,BR,,2017,,5,H,,,,
7130888,8794103379,HPC2123,NY,PAS,11/30/2019,38,SUBN,BMW,T,7230,0,0,20210511,63.0,63,63,367891,T302,R,1126A,,K,I,W,21st Ave,30ft N/of 86th St,0,408,J3,, YYYYYY,0900A,0700P,WH,,2011,,0,06,,,,
3118760,8697027421,HKF3197,NY,PAS,09/01/2019,19,SUBN,FORD,T,28830,53960,14880,20200831,61.0,61,61,370300,T302,P,1223P,,K,F,2827,Coney Island Ave,,0,408,I3,,YYYYYYY,,,WH,,2003,,0,46,,,,
7119951,8794003713,JEC7088,NY,PAS,12/03/2019,40,SUBN,TOYOT,T,23620,26340,46820,88880088,41.0,41,41,359331,T201,N,0621A,,BX,F,759,Dawson St,,0,408,E2,,YYYYYYY,,,OTHER,,0,,0,F,,,,
6980477,8770326691,AS239X,NJ,PAS,12/13/2019,74,DELV,INTER,T,35710,0,0,88880088,24.0,24,24,365335,T103,D,0941A,,NY,I,N,W 97th St,40ft E/of Amsterdam,0,408,F1,,YYYYYYY,,,WHITE,,0,,0,23,,,,
9670454,4681444443,GLV7993,NY,PAS,03/10/2020,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,1201P,,QN,,,WB JAMAICA AVE @ 224,TH ST,0,1180,B,T,,,,BK,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
7905288,8640513685,46080MG,NY,COM,01/07/2020,21,PICK,DODGE,T,54130,58730,85730,20210331,79.0,79,79,355161,T301,I,1206P,,K,O,675,Lafayette Ave,,0,408,D1,,  Y  Y,1200A,0130P,GY,,2006,,0,C,,,,
3362898,8748065250,AJ86005,AZ,PAS,09/15/2019,14,SUBN,GMC,T,34910,11110,13113,88880088,18.0,18,18,361342,MTTF,H,1051A,,NY,F,606,W 57th St,,0,408,C,,YYYYYYY,,,WHITE,,0,,0,05,,,,
4310330,5108424966,QYZ918,SC,PAS,09/27/2019,7,SU,TOYOT,V,0,0,0,0,,0,0,0,,,0104P,,BK,,,HOWARD AVE (N/B) @ E, NEW YORK AVE,0,1111,D,T,,,,,,2019,,0,,FAILURE TO STOP AT RED LIGHT,,,
6308445,4674001468,HYA2823,NY,PAS,12/18/2019,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,1252P,,BK,,,NB SHELL RD @ BOUCK,CT,0,1180,B,T,,,,GY,,2004,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
2610343,8723023867,HHA7653,NY,PAS,09/11/2019,14,4DSD,BMW,T,17910,10410,25390,20200630,18.0,18,18,363472,T106,H,0841A,,NY,F,12,E 46th St,,0,408,C,, YYYYY,0700A,1000P,WH,,2019,,0,99,,,,
8461022,4679158244,HSK6360,NY,PAS,02/19/2020,36,SUBN,CHRYS,V,0,13550,0,0,,0,0,0,,,0253P,,BK,,,NB FLATBUSH AVE EXT,@ BRIDGE ST,0,1180,B,T,,,,BK,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
6356562,8569765230,HSL6937,NY,OMS,12/19/2019,31,4DSD,CHEVR,T,34310,10610,10810,20200930,10.0,10,10,346380,T108,G,0415P,,NY,F,233,W 27th St,,0,408,I3,, YYYYY,0800A,1000P,GY,,2020,,0,01,,,,
329177,8748320390,HZK8881,NY,PAS,07/09/2019,21,SUBN,LEXUS,T,32940,0,0,20200507,1.0,1,1,356255,T105,M,0912A,,NY,I,S,Warren St,50ft E/of River Ter,0,408,D1,,  Y  Y,0900A,1030A,BK,,2018,,0,Q,,,,
4212853,4669315274,T739040C,NY,OMT,10/11/2019,36,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0920A,,QN,,,WB 23 AV. 94 ST - 87, ST,0,1180,B,T,,,,BK,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8266597,8803853054,T715486C,NY,OMT,01/09/2020,38,4DSD,CHRYS,T,29020,42820,52120,20200831,52.0,52,52,366443,T201,F,0201P,,BX,O,10,E Kingsbridge Rd,,0,408,F1,, YYYYYY,0900A,0700P,BL,,2015,,0,43,,,,
4015721,1458590203,CSW2604,NY,PAS,09/26/2019,21,SUBN,SUBAR,P,43130,5780,71530,20200924,78.0,78,110,362227,T110,0,1138A,,K,F,206,GARFIELD PL,,0,408,D1,,BBBYBBB,1130A,0100P,TAN,0.0,2008,-,0,,,,,
7837854,8527077930,T731569C,NY,OMT,01/10/2020,38,SUBN,ME/BE,T,73720,27330,29220,20200630,52.0,52,52,370853,T201,I,1204P,,BX,F,2488,Webster Ave,,0,408,I4,, YYYYYY,0900A,0700P,BK,,2017,,0,40,,,,
8309708,8809857021,GXB5042,NY,PAS,01/14/2020,21,4DSD,ACURA,T,7490,50330,7290,20210406,114.0,114,114,333007,T401,M,0853A,,Q,F,25-03,27th St,,0,408,D1,,  Y,0830A,1000A,BL,,2018,,0,T,,,,
3618934,1462248305,LILB39,FL,PAS,09/17/2019,21,SDN,VOLVO,S,37030,26630,55330,20191031,67.0,67,0,556771,KN17,0.0,0853A,,K,F,233,E 51TH STREET,,0,408,D1,,BYBBYBB,0830A,1000A,BLK,0.0,0,-,0,,,,,
4367587,8585481328,EYB9445,NY,PAS,10/03/2019,21,4DSD,CHEVR,T,70320,11415,73420,20200404,43.0,43,43,361796,T201,H,1150A,,BX,O,1029,Underhill Ave,,0,408,D1,, Y  Y,1130A,0100P,GY,,2009,,0,12,,,,
6131868,8791509907,PF078S,FL,PAS,11/21/2019,21,SUBN,INFIN,T,35230,14130,14180,20200488,70.0,70,70,365922,T302,H,1140A,,K,O,1145,E 10th St,,0,408,D1,,    Y,1130A,0100P,BLACK,,0,,0,02,,,,
1073384,8761308330,GEE2729,NY,PAS,06/26/2019,70,SUBN,TOYOT,T,65030,0,0,20190110,112.0,112,112,362640,T402,M,0932A,,Q,I,S,Sybilla St,20ft W/of 70th Rd,0,408,J3,,YYYYYYY,,,GY,,2012,,0,CC1,,,,
6575398,8802150138,JBP3978,NY,PAS,12/07/2019,37,SUBN,MAZDA,T,14640,59990,68690,20200823,112.0,112,112,361047,T402,B,1130A,1115A,Q,F,10606,69th Rd,,0,408,I3,, YYYYYY,0830A,0700P,WH,,2016,,0,07,,,,
3259673,8737426357,FMH7352,NY,PAS,09/11/2019,21,4DSD,CHRYS,T,8690,7040,7190,20210525,114.0,114,114,365837,T401,S,1139A,,Q,O,23-24,36th Ave,,0,408,E5,,   Y,1130A,0100P,BK,,2008,,0,31-A,,,,
6359019,8608596271,HSA4908,NY,PAS,12/14/2019,70,4DSD,NISSA,T,63820,33205,9820,88880088,50.0,50,50,355281,T801,A,0937P,,BX,O,2400,Sedgwick Ave,,0,408,C3,,YYYYYYY,,,SILVE,,0,,0,I,,,,
3290061,8740427766,JJD8639,NY,PAS,08/31/2019,20,SUBN,CHEVR,T,18790,66790,64790,20210630,103.0,103,103,368599,T402,H,0717A,,Q,O,145-07,95th Ave,,0,408,D,,YYYYYYY,,,GY,,2005,,0,17,,,,
6907135,8756647888,ZLV8524,PA,PAS,12/03/2019,14,DELV,FRUEH,T,34630,10510,13610,88880088,14.0,14,14,346409,T106,A,0800A,,NY,F,123,W 43rd St,,0,408,L2,,YYYYYYY,,,BLUE,,0,,0,C,,,,
7017579,8772472108,23741MG,NY,COM,12/19/2019,37,REFG,HIN,T,21690,20640,20090,20200831,5.0,5,5,367964,T101,D,0208P,0101P,NY,O,280,Grand St,,0,408,E2,, YYYYYY,0900A,0700P,WH,,2015,,0,48,,,,
7605176,1464200270,HMA6179,NY,PAS,01/14/2020,21,SDN,NISSA,S,78050,53520,47520,20200228,49.0,49,0,535013,BX11,0.0,0820A,,BX,F,2030,WILLIAMSBRIDGE RD,,0,408,D1,,YYYYYYB,0800A,0830A,BLACK,0.0,2012,-,0,,,,,
888673,8733441339,FZ163,RI,PAS,07/23/2019,21,SUBN,AUDI,T,19690,40404,40404,20190088,7.0,7,7,362533,T105,M,0831A,,NY,O,465,E Broadway,,0,408,D1,,  Y  Y,0800A,0930A,BLUE,,0,,0,M,,,,
2284206,8764864170,PAT6026,MN,PAS,08/06/2019,84,TRAC,FRUEH,T,10210,18730,18750,88880088,23.0,23,23,363580,T103,B,0601A,,NY,F,1550,3rd Ave,,0,408,F1,,YYYYYYY,,,WHITE,,0,,0,U,,,,
10143413,4682186127,HSV3365,NY,PAS,03/24/2020,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,1254P,,QN,,,WB BEACH CHANNEL DR,@ B 68TH ST,0,1180,B,T,,,,BK,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
3054285,8617643493,PJN7653,OH,PAS,09/09/2019,42,DELV,MITSU,T,34490,10610,10810,20191288,14.0,14,14,355231,T106,O,0347P,,NY,F,205,W 36th St,,0,408,H0,, YYYYY,0600A,0600P,WHITE,,0,,0,01,,,,
6386396,8725797803,JLM7408,NY,PAS,12/10/2019,21,4DSD,TOYOT,T,8640,8590,8690,20210903,114.0,114,114,365889,T401,E,0901A,,Q,F,35-02,35th St,,0,408,D1,,  Y  Y,0830A,1000A,GY,,2019,,0,26-A,,,,
883640,8734454159,DKB6544,NY,PAS,07/04/2019,13,SUBN,NISSA,T,10810,34870,34890,20190914,18.0,18,18,355708,T501,B,1251P,,NY,F,935,8th Ave,,0,408,C,,YYYYYYY,,,BK,,2005,,0,CC1,,,,
5857944,8755769378,AP533K,NJ,PAS,10/30/2019,18,DELV,FRUEH,T,17450,10210,10110,88880088,13.0,13,13,367943,T102,C,1030A,,NY,F,215,E 23rd St,,0,408,L2,,YYYYYYY,,,WHITE,,0,,0,09,,,,
4597728,8742736894,HKH6260,NY,PAS,10/01/2019,20,SUBN,TOYOT,T,68020,26940,29620,20191017,48.0,48,48,355594,T201,S,1151A,,BX,O,4175,3rd Ave,,0,408,D,, YYYYY,0700A,0600P,GR,,2002,,0,48,,,,
7038236,8780384500,CKY1322,GA,PAS,12/22/2019,14,4DSD,HYUND,T,25545,31450,12550,20200888,45.0,45,45,365816,T201,N,0553A,,BX,O,8A,Earhart Ln,,0,408,D,,YYYYYYY,,,GREY,,0,,0,45,,,,
5593723,8508487551,XFRR96,NJ,PAS,11/20/2019,20,REFG,ISUZU,T,20090,21690,13810,88880088,5.0,5,5,370801,T101,S,0332P,,NY,O,114,Eldridge St,,0,408,I4,, YYYYY,0700A,0700P,WHITE,,0,,0,68,,,,
3193179,8717624472,65537PC,NY,APP,09/13/2019,3,BUS,,T,10410,34270,17510,20200531,13.0,13,13,361868,T102,O,1031A,,NY,F,210,5th Ave,,0,408,D7,,YYYYYYY,,,WH,,2012,,0,99,,,,
1142381,4660338691,HZJ3951,NY,PAS,07/26/2019,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0551P,,ST,,,SB ARDEN AVE @ EDGEG,ROVE AVE,0,1180,B,T,,,,BK,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
2721628,8766319262,JFY8939,NY,PAS,09/13/2019,17,SUBN,JEEP,T,76430,73380,64530,20210203,75.0,75,75,337785,T301,L,0713A,,K,O,585,Sheffield Ave,,0,408,C4,,YYYYYYY,0700A,0400P,BL,,2016,,0,W,,,,
1730648,4662870264,EUK8764,NY,PAS,08/14/2019,36,4DSD,VOLVO,V,0,0,0,0,,0,0,0,,,0619P,,BK,,,NB MCGUINNESS BLVD @, NASSAU AVE,0,1180,B,T,,,,GY,,2004,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
934671,8743630340,T720040C,NY,OMT,07/18/2019,10,4DSD,TOYOT,T,10810,34430,34450,20191130,14.0,14,14,330487,T501,B,0752P,,NY,O,470,8th Ave,,0,408,C4,,YYYYYYY,,,RD,,2014,,0,99,,,,
6206929,4012319670,HXK5791,NY,PAS,11/06/2019,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0559P,,BK,,,SB NOSTRAND AVE @ LI,NDEN BLVD,0,1111,C,T,,,,BK,,2008,,0,,BUS LANE VIOLATION,,,
107788,4659186362,GRH7083,NY,PAS,07/19/2019,36,4DSD,HONDA,V,25645,40404,40404,0,,0,0,0,,,0810A,,QN,,,SB MAIN ST @ 82ND DR,,0,1180,B,T,,,,BK,,2014,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4903612,8782756028,2521432,ME,PAS,10/03/2019,48,TRLR,NS/OT,T,60520,77350,24965,20260288,41.0,41,41,365371,T201,C,0553P,,BX,F,1376,Randall Ave,,0,408,K2,,YYYYYYY,,,GREY,,0,,0,W,,,,
8498477,8544587525,JGV8318,NY,PAS,02/09/2020,46,SUBN,MAZDA,T,28830,14080,24850,20210604,70.0,70,70,371198,T302,P,0250P,,K,F,1367,Coney Island Ave,,0,408,C3,,YYYYYYY,,,GY,,2019,,0,02,,,,
640909,8625044840,FML4022,NC,PAS,07/05/2019,21,VAN,DODGE,T,18590,10110,10010,20200388,19.0,19,19,368500,T103,E,0917A,,NY,F,308,E 80th St,,0,408,D1,,  Y  Y,0900A,1030A,WHITE,,0,,0,28,,,,
6204211,4012328475,GVA6256,NY,PAS,11/08/2019,5,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0908A,,MN,,,SB 2ND AVE @ E 61ST,ST,0,1111,C,T,,,,BL,,2019,,0,,BUS LANE VIOLATION,,,
10276787,8733596967,46076MJ,NY,COM,03/18/2020,38,VAN,FORD,T,18950,25390,27790,20200630,23.0,23,23,357722,T103,E,0842A,,NY,F,65,E 99th St,,0,408,I4,, YYYYYY,0830A,1000P,WH,,2016,,0,CC1,,,,
5234949,8737895102,HYU6454,NY,PAS,11/19/2019,37,SUBN,SUBAR,T,7790,8240,8390,20200423,114.0,114,114,356560,T401,G,0214P,0207P,Q,F,32-10,30th Ave,,0,408,I4,, YYYYYY,0800A,0700P,BL,,2018,,0,24,,,,
9425294,8800303109,HSF2063,NY,PAS,02/14/2020,21,SUBN,ACURA,T,28410,15620,57320,20201025,47.0,47,47,369608,T201,Y,0944A,,BX,F,954,E 226th St,,0,408,D1,,     Y,0930A,1100A,BL,,2006,,0,18,,,,
1340638,8707572219,JAG1434,NY,PAS,08/07/2019,16,SUBN,JEEP,T,18530,56830,18930,20200522,83.0,83,83,370263,T301,T,0158P,,K,O,90,Beaver St,,0,408,J6,, YYYYY,0800A,0600P,WH,,2016,,0,SPCL,,,,
10369503,8768146255,XDRM78,NJ,PAS,03/17/2020,74,VAN,FORD,T,17870,10110,10010,88880088,17.0,17,17,350408,T106,O,1213P,,NY,O,338,E 44th St,,0,408,J2,,YYYYYYY,,,WHITE,,0,,0,14,,,,
8637079,8776967074,JCC1459,PA,PAS,02/05/2020,14,SUBN,HONDA,T,81330,0,0,20200788,84.0,84,84,369613,T301,Y,0529P,,K,I,N,State St,100ft W/of 3rd Ave,0,408,B,,YYYYYYY,,,PURPL,,0,,0,SPCL,,,,
10021573,4680009433,FRJ8169,NY,PAS,02/24/2020,36,4DSD,TESLA,V,0,40404,40404,0,,0,0,0,,,0625P,,BK,,,SB KNAPP ST @ AVE V,,0,1180,B,T,,,,BK,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
3075566,8591345150,KTE3159,PA,PAS,09/03/2019,21,SUBN,SUBAR,T,56630,0,0,20190088,73.0,73,73,369658,T301,W,1234P,,K,I,E,Livonia Ave,15ft S/of Sackman St,0,408,D1,,  Y  Y,1130A,0100P,BLACK,,0,,0,SPCL,,,,
5670596,8677538562,HLF3024,NY,PAS,10/31/2019,20,4DSD,CHRYS,T,40930,14230,15910,20201114,63.0,63,63,370245,T302,Y,1113A,,K,O,2019,Flatbush Ave,,0,408,I4,,YYYYYYY,,,GY,,2015,,0,20,,,,
2864494,4664415497,JHF3834,NY,PAS,08/29/2019,36,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,1046A,,BK,,,SB REMSEN AVE @ FARR,AGUT RD,0,1180,B,T,,,,GL,,2012,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8291300,8801308220,13284MJ,NY,COM,01/08/2020,19,DELV,FORD,T,13880,0,0,20200331,63.0,63,63,370776,T302,B,0105P,,K,I,S,Avenue D,30ft W/of Nostrand A,0,408,E2,,YYYYYYY,,,WH,,2015,,0,16,,,,
5452454,4670037304,DLD5669,NY,PAS,10/24/2019,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0751A,,QN,,,EB HILLSIDE AVE @ 25,1ST ST,0,1180,B,T,,,,WH,,2008,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
5015299,4669995522,GST4998,NY,PAS,10/28/2019,36,SUBN,ACURA,V,0,0,0,0,,0,0,0,,,0448P,,BK,,,SB EASTERN PKWY @ TR,UXTON ST,0,1180,B,T,,,,WH,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9028059,8680642307,T762227C,NY,OMT,02/04/2020,9,SUBN,TOYOT,T,34530,10810,0,20200228,14.0,14,14,367898,MTTF,F,0928A,,NY,X,,W 38th St,8th Ave,0,408,E1,,YYYYYYY,,,BK,,2016,,0,23,,,,
